"sp"
"Oreotrochilus_estella"
"Oreotrochilus_adela"
"Phaethornis_squalidus"
"Aglaeactis_cupripennis"
"Anthracothorax_veraguensis"
"Lepidopyga_lilliae"
"Metallura_eupogon"
"Glaucis_dohrnii"
"Sappho_sparganurus"
"Campylopterus_villaviscensio"
"Selasphorus_flammula"
"Glaucis_hirsutus"
"Metallura_williami"
"Phaethornis_longuemareus"
"Phaethornis_aethopygus"
"Lepidopyga_goudoti"
"Phaethornis_bourcieri"
"Doryfera_johannae"
"Amazilia_yucatanensis"
"Oxypogon_stubelii"
"Oreotrochilus_melanogaster"
"Heliodoxa_schreibersii"
"Metallura_theresiae"
"Threnetes_leucurus"
"Ramphodon_naevius"
"Phaethornis_hispidus"
"Coeligena_wilsoni"
"Eupetomena_macroura"
"Oxypogon_lindenii"
"Myrtis_fanny"
"Phaethornis_malaris"
"Androdon_aequatorialis"
"Chalcostigma_stanleyi"
"Patagona_gigas"
"Phaethornis_syrmatophorus"
"Amazilia_versicolor"
"Heliactin_bilophus"
"Amazilia_cyanifrons"
"Phaethornis_koepckeae"
"Oxypogon_guerinii"
"Heliodoxa_gularis"
"Heliomaster_furcifer"
"Calypte_anna"
"Polytmus_guainumbi"
"Anthocephala_floriceps"
"Chlorostilbon_alice"
"Chrysolampis_mosquitus"
"Calypte_costae"
"Eriocnemis_cupreoventris"
"Chlorestes_notata"
"Aglaeactis_pamela"
"Metallura_phoebe"
"Anthracothorax_nigricollis"
