"sound.files","selec","start","end","bottom.freq","top.freq","orig.sound.file"
"ETC21_duplicated_master.wav",48,12.972358276644,13.0333333333333,3.867,15.9616,"Glaucis-hirsutus-16811.wav_12"
"ETC21_duplicated_master.wav",49,13.1333333333333,13.2492743764172,5.1016,8.6654,"Phaethornis-longuemareus-ML6174.wav_13"
"ETC21_duplicated_master.wav",50,13.3492743764172,13.4936507936508,1.6844,9.2385,"Metallura-theresiae-46827.wav_14-dup"
"ETC21_duplicated_master.wav",51,13.5936507936508,13.6583219954649,2.205,9.8,"Oreotrochilus-estella-263265.wav_7-dup"
"ETC21_duplicated_master.wav",52,13.7583219954649,13.7794557823129,1.2388,7.4326,"Sappho-sparganurus-263264.wav_35"
"ETC21_duplicated_master.wav",53,13.8794557823129,13.9409750566893,1.9586,4.954,"Oreotrochilus-adela-146833.wav_74"
"ETC21_duplicated_master.wav",54,14.0409750566893,14.1463718820862,2.1174,8.1775,"Aglaeactis-cupripennis-ML17471.wav_11"
"ETC21_duplicated_master.wav",55,14.2463718820862,14.3282993197279,2.1144,9.7413,"Oreotrochilus-estella-263265.wav_38-dup"
"ETC21_duplicated_master.wav",56,14.4282993197279,14.4895238095238,1.8314,7.9849,"Oreotrochilus-estella-263265.wav_67"
"ETC21_duplicated_master.wav",57,14.5895238095238,14.6215873015873,2.2581,11.7699,"Campylopterus-villaviscensio-111082.wav_15-dup"
"ETC21_duplicated_master.wav",58,14.7215873015873,15.06,1.1748,7.1832,"Phaethornis-squalidus-85295.wav_59-dup"
"ETC21_duplicated_master.wav",59,15.16,15.1792517006803,1.26,21.105,"Lepidopyga-lilliae-ML167379.wav_1-dup"
"ETC21_duplicated_master.wav",60,15.2792517006803,15.3548526077098,4.551,10.3732,"Threnetes-leucurus-77603.wav_9-dup"
"ETC21_duplicated_master.wav",61,15.4548526077097,15.5958503401361,0,22.05,"Ramphodon-naevius-85396.wav_35-dup"
"ETC21_duplicated_master.wav",62,15.6958503401361,15.737074829932,2.828,12.8507,"Phaethornis-hispidus-400021.wav_1-dup"
"ETC21_duplicated_master.wav",63,15.837074829932,15.8595011337868,1.9174,11.5043,"Oreotrochilus-estella-263265.wav_53-dup"
"ETC21_duplicated_master.wav",64,15.9595011337868,15.989433106576,5.4153,10.415,"Coeligena-wilsoni-264477.wav_5"
"ETC21_duplicated_master.wav",65,16.089433106576,16.2304308390023,4.8734,9.7791,"Phaethornis-longuemareus-ML6174.wav_15"
"ETC21_duplicated_master.wav",66,16.3304308390023,16.4060317460317,4.551,10.3732,"Threnetes-leucurus-77603.wav_9"
"ETC21_duplicated_master.wav",67,16.5060317460317,16.5739229024943,1.89,20.79,"Lepidopyga-lilliae-ML167379.wav_26-dup"
"ETC21_duplicated_master.wav",68,16.6739229024943,16.6985034013605,1.575,21.42,"Lepidopyga-lilliae-ML167379.wav_32-dup"
"ETC21_duplicated_master.wav",69,16.7985034013605,17.0201360544218,1.75,16.73,"Lepidopyga-goudoti-175790.wav_12-dup"
"ETC21_duplicated_master.wav",70,17.1201360544218,17.1425623582766,0.245,14.6183,"Oreotrochilus-estella-263265.wav_48-dup"
"ETC21_duplicated_master.wav",71,17.2425623582766,17.348231292517,2.6364,9.1076,"Ramphodon-naevius-85396.wav_18-dup"
"ETC21_duplicated_master.wav",72,17.448231292517,17.4902267573696,0,22.05,"Ramphodon-naevius-85396.wav_29"
"ETC21_duplicated_master.wav",73,17.5902267573696,17.6803854875283,1.7278,13.5756,"Glaucis-hirsutus-16811.wav_17"
"ETC21_duplicated_master.wav",74,17.7803854875283,17.8129024943311,1.0115,13.5537,"Eupetomena-macroura-42661.wav_1-dup"
"ETC21_duplicated_master.wav",75,17.9129024943311,17.962925170068,2.4255,8.967,"Oreotrochilus-estella-263265.wav_76-dup"
"ETC21_duplicated_master.wav",76,18.062925170068,18.1994784580499,1.8983,7.9584,"Metallura-williami-42575.wav_7-dup"
"ETC21_duplicated_master.wav",77,18.2994784580499,18.3304081632653,2.2238,9.6186,"Doryfera-johannae-98229.wav_2-dup"
"ETC21_duplicated_master.wav",78,18.4304081632653,18.449387755102,2.1315,11.2455,"Oreotrochilus-estella-263265.wav_83"
"ETC21_duplicated_master.wav",79,18.549387755102,18.5719047619048,1.7665,6.8358,"Oreotrochilus-adela-146833.wav_49"
"ETC21_duplicated_master.wav",80,18.6719047619048,18.7965759637188,2.4585,13.4451,"Metallura-eupogon-62896.wav_3"
"ETC21_duplicated_master.wav",81,18.8965759637188,18.921156462585,1.9304,12.1388,"Campylopterus-villaviscensio-111082.wav_44-dup"
"ETC21_duplicated_master.wav",82,19.021156462585,19.0927210884354,1.7581,10.4756,"Oreotrochilus-estella-263265.wav_63"
"ETC21_duplicated_master.wav",83,19.1927210884354,19.2322448979592,1.1482,6.9296,"Doryfera-johannae-98229.wav_72"
"ETC21_duplicated_master.wav",84,19.3322448979592,19.3632426303855,2.0351,11.7631,"Campylopterus-villaviscensio-111082.wav_25-dup"
"ETC21_duplicated_master.wav",85,19.4632426303855,19.538843537415,6.533,9.3822,"Threnetes-leucurus-77603.wav_1"
"ETC21_duplicated_master.wav",86,19.638843537415,19.76820861678,4.3024,7.4524,"Metallura-eupogon-62896.wav_7"
"ETC21_duplicated_master.wav",87,19.86820861678,19.9380498866213,1.617,11.0985,"Oreotrochilus-estella-263265.wav_100-dup"
"ETC21_duplicated_master.wav",88,20.0380498866213,20.0755782312925,2.1122,6.4901,"Oreotrochilus-adela-146833.wav_51"
"ETC21_duplicated_master.wav",89,20.1755782312925,20.2480045351474,1.2453,8.5709,"Oreotrochilus-estella-263265.wav_66"
